January 2008: [12]
728: 90 r             
729: 116 r            
730: 11 #          
731: 140 r           
732: 130 r            
733: 110 r 
734: 179 r            
735:  1 #              
736:  180 a        
737: 28 a             
738: 77 a           
739: 90 a             

February 2008: [14]
TODS-2007-0049.R1:    105 a
TODS-2007-0052.R1:     77 a
TODS-2008-0010:         110 r 
TODS-2008-0014:         135 r
TODS-2007-0055.R1:     135 a
TODS-2007-0010.R2:     42 a
TODS-2007-0051:           60 a
TODS-2008-0012:          187 x
TODS-2008-0013:            90 x
TODS-2008-0016:         190 r
TODS-2008-0017:         27 #
TODS-2008-0018:         170 r
TODS-2007-0064.R1:     88 r 
TODS-2007-0052.R1:     77 a

March 2008: [8]
TODS-2008-0020:         124 r                           
TODS-2008-0022:         131 r 
TODS-2007-0047.R1:      86 r 
TODS-2007-0064.R1:     130 a           
TODS-2007-0057.R1:    101 r   
TODS-2006-0077.R2:      55 a
TODS-2007-0073.R1:      70 a
TODS-2008-0025:          140 x
 
April 2008: [4]
TODS-2008-0028: 136 r                  
TODS-2008-0029:  169 r                 
TOD-S2008-0030:  13 #                
TODS-2007-0076.R1: 70 a             

May 2008 [10]:
TODS-2007-0068.R1:       110 a
TODS-2008-0031:             150 r      
TODS-2007-0074.R1:       106 a
TODS-2007-0071.R1:       117 a       
TODS-2007-0050.R2:       27 a
TODS-2008-0032:             143 x      
TODS-2008-0033:             108 x     
TODS-2008-0035:             158 a     
TODS-2007-0067.R1:       124 a       
TODS-2008-0037:             142 x     

June 2008 [5]: 
TODS-2007-0026.R2:           115 a     
TODS-2007-0083.R1:           60 a       
TODS-2007-0012.R2:           62 a       
0838:                                   169 r      
0842:                                   75 x        
 
July 2008 [7]:
TODS-2007-0047.R2:       83 r       
TODS-2008-0039:             147 r      
TODS-2008-0044:             30 #     
TODS-2008-0026:             60 #        
TODS-2008-0046:             38 #      
TODS-2007-0057.R2:       41 a       
TODS-2007-0064.R2:       65 r  
