January 2008: [12]
728: 90 r             
729: 116 r            
730: 11 #          
731: 140 r           
732: 130 r            
733: 110 r 
734: 179 r            
735:  1 #              
736:  180 a        
737: 28 a             
738: 77 a           
739: 90 a             

February 2008: [14]
TODS-2007-0049.R1:    105 a
TODS-2007-0052.R1:     77 a
TODS-2008-0010:         110 r 
TODS-2008-0014:         135 r
TODS-2007-0055.R1:     135 a
TODS-2007-0010.R2:     42 a
TODS-2007-0051:           60 a
TODS-2008-0012:          187 x
TODS-2008-0013:            90 x
TODS-2008-0016:         190 r
TODS-2008-0017:         27 #
TODS-2008-0018:         170 r
TODS-2007-0064.R1:     88 r 
TODS-2007-0052.R1:     77 a

March 2008: [8]
TODS-2008-0020:         124 r                           
TODS-2008-0022:         131 r 
TODS-2007-0047.R1:      86 r 
TODS-2007-0064.R1:     130 a           
TODS-2007-0057.R1:    101 r   
TODS-2006-0077.R2:      55 a
TODS-2007-0073.R1:      70 a
TODS-2008-0025:          140 x
 
April 2008: [4]
TODS-2008-0028: 136 r                  
TODS-2008-0029:  169 r                 
TOD-S2008-0030:  13 #                
TODS-2007-0076.R1: 70 a             

May 2008 [10]:
TODS-2007-0068.R1:       110 a
TODS-2008-0031:             150 r      
TODS-2007-0074.R1:       106 a
TODS-2007-0071.R1:       117 a       
TODS-2007-0050.R2:       27 a
TODS-2008-0032:             143 x      
TODS-2008-0033:             108 x     
TODS-2008-0035:             158 a     
TODS-2007-0067.R1:       124 a       
TODS-2008-0037:             142 x     

June 2008 [6]: 
TODS-2007-0026.R2:           115 a     
TODS-2007-0083.R1:           60 a       
TODS-2007-0012.R2:           62 a       
0838:                                   169 r      
0841:                                   195 r              
0842:                                   75 x        

July 2008 [7]:
TODS-2007-0047.R2:       83 r       
TODS-2008-0039:             147 r      
TODS-2008-0044:             30 #     
TODS-2008-0026:             60 #        
TODS-2008-0046:             38 #      
TODS-2007-0057.R2:       41 a       
TODS-2007-0064.R2:       65 r  

August 2008 [9]:
TODS-2008-0023:     115 x            
TODS-2008-0049:     113 x           
TODS-2008-0048:      75 #              
TODS-2008-0047:     143 r               
TODS-2008-0051:      96 r               
TODS-2008-0053:      194 r      
TODS-2008-0045:      118 r     
TODS-2008-0052:       127 x       
TODS-2007-0079.R1:   80 r        

September 2008 [9]:
TODS-2008-0010.R1:       104 r                                    
TODS-2008-0050 :           113 x                 
TODS-2008-0056:            129 r       
TODS-2008-0057:             142 r                    
TODS-2008-0058:             148 r                   
TODS-2008-0060:             118 r       
TODS-2008-0020.R1:         73 a         
TODS-2008-0024.R1:       110 r      
TODS-2008-0009.R1:       168 r          

October 2008 [8]:
TODS-2008-0062:           178 r 
TODS-2008-0063:           196 r
TODS-2008-0064:           133 x
TODS-2008-0065:            156  r
TODS-2007-0072.R1 :      90 r
TODS-2008-0066:            90 r
TODS-2008-0021:           108 x
TODS-2007-0064.R3:     16 a

November 2008 [9]:
TODS-2008-0061:            111 x       
TODS-2008-0059:             20 #        
TODS-2008-0067:             118 r    
TODS-2008-0068:             125 r
TODS-2008-0069:             179 r
TODS-2008-0070:             119 x
TODS-2008-0071:             126 x
TODS-2008-0072:             155 r
TODS-2007-0088.R1:       86 a

December 2008 [11]:
TODS-2008-0073:             113 x
TODS-2008-0076:             140 r
TODS-2007-0047.R3:         34 a
TODS-2007-0079.R2:        26 a
TODS-2008-0078:             189 r
TODS-2008-0080:             187 r
TODS-2008-0079:         18 x
TODS-2008-0022.R1:         90 x
TODS-2008-0081:              30 x
TODS-2008-0038.R1:       103 a
TODS-2008-0029.R1:       159 a

January 2009 [8]:
TODS-2009-0002:             16 x
TODS-2008-0024.R2:        2 a
TODS-2008-0010.R2:        22 a
TODS-2008-0077:             10 x
TODS-2008-0051.R1:       101 r
TODS-2009-0005:             128 x
TODS-2009-0006:             120 x
TODS-2009-0007:             112 r

February 2009 [7]:

TODS-2009-0009:             146 x
TODS-2009-0010:             132 r
TODS-2009-0013:             120 r
TODS-2009-0012:             118 x
TODS-2009-0016:             118 x
TODS-2009-0015:             14 #
TODS-2008-0066.R1:        75 r

March 2009  [9]:
TODS-2008-0056.R1:        60 a
TODS-2008-0060.R1:        96 a
TODS-2009-0017:             150 r
TODS-2009-0014:             132 x
TODS-2008-0041.R1:       136 a
TODS-2009-0019:             123 x
TODS-2009-0020:             109 r
TODS-2008-0047.R1:       103 r
TODS-2009-0021:             150 r

April 2009 [5]:
TODS 2007-0072.R2:        70 a
TODS 2009-0023:            156 r
TODS-2008-0031.R1:        97 a
TODS  2009-0022:             128 x
TODS 2008-0045.R1:        114 r

May 2009    [8]:
TODS 2008-0068.R1:        9 a
TODS 2009-0024:              99 x
TODS-2008-0069.R1:        86 a
TODS-2009-0025:              2 x
TODS-2008-0058.R1:        98 a
TODS-2008-0051.R2:        67 a
TODS-2009-0027:              14 x
TODS-2008-0062.R1:        59 r
